MAG_ID	replicates_per_group_UC	replicates_per_group_control	paired_replicates_per_group_UC	paired_replicates_per_group_control	unpaired_test_eligible	paired_test_eligible	single_sample_eligible_UC	single_sample_eligible_control
MGYG000001500	3.0	3.0	0.0	0.0	False	False	False	False
MGYG000001531	5.0	1.0	0.0	0.0	False	False	True	False
MGYG000001576	5.0	3.0	0.0	0.0	False	False	True	False
MGYG000001632	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000001977	6.0	6.0	0.0	0.0	True	False	True	True
MGYG000002006	4.0	1.0	0.0	0.0	False	False	True	False
MGYG000002040	7.0	8.0	0.0	0.0	True	False	True	True
MGYG000002057	3.0	5.0	0.0	0.0	False	False	False	True
MGYG000002060	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000002085	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000002155	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000002223	5.0	8.0	0.0	0.0	True	False	True	True
MGYG000002272	7.0	9.0	0.0	0.0	True	False	True	True
MGYG000002274	3.0	5.0	0.0	0.0	False	False	False	True
MGYG000002279	2.0	2.0	0.0	0.0	False	False	False	False
MGYG000002281	7.0	6.0	0.0	0.0	True	False	True	True
MGYG000002293	1.0	3.0	0.0	0.0	False	False	False	False
MGYG000002304	1.0	3.0	0.0	0.0	False	False	False	False
MGYG000002321	2.0	2.0	0.0	0.0	False	False	False	False
MGYG000002327	9.0	6.0	0.0	0.0	True	False	True	True
MGYG000002340	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000002395	1.0	4.0	0.0	0.0	False	False	False	True
MGYG000002396	3.0	3.0	0.0	0.0	False	False	False	False
MGYG000002438	10.0	10.0	0.0	0.0	True	False	True	True
MGYG000002445	3.0	3.0	0.0	0.0	False	False	False	False
MGYG000002448	2.0	1.0	0.0	0.0	False	False	False	False
MGYG000002454	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000002455	3.0	4.0	0.0	0.0	False	False	False	True
MGYG000002470	2.0	1.0	0.0	0.0	False	False	False	False
MGYG000002478	10.0	10.0	0.0	0.0	True	False	True	True
MGYG000002482	2.0	1.0	0.0	0.0	False	False	False	False
MGYG000002492	6.0	9.0	0.0	0.0	True	False	True	True
MGYG000002506	3.0	2.0	0.0	0.0	False	False	False	False
MGYG000002517	3.0	5.0	0.0	0.0	False	False	False	True
MGYG000002528	4.0	6.0	0.0	0.0	True	False	True	True
MGYG000002530	2.0	5.0	0.0	0.0	False	False	False	True
MGYG000002540	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000002545	8.0	9.0	0.0	0.0	True	False	True	True
MGYG000002549	8.0	10.0	0.0	0.0	True	False	True	True
MGYG000002580	2.0	2.0	0.0	0.0	False	False	False	False
MGYG000002610	3.0	7.0	0.0	0.0	False	False	False	True
MGYG000002617	1.0	4.0	0.0	0.0	False	False	False	True
MGYG000002619	5.0	8.0	0.0	0.0	True	False	True	True
MGYG000002641	5.0	8.0	0.0	0.0	True	False	True	True
MGYG000002651	4.0	8.0	0.0	0.0	True	False	True	True
MGYG000002670	4.0	6.0	0.0	0.0	True	False	True	True
MGYG000002689	3.0	1.0	0.0	0.0	False	False	False	False
MGYG000002715	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000002717	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000002809	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000002882	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000002926	2.0	5.0	0.0	0.0	False	False	False	True
MGYG000003022	5.0	2.0	0.0	0.0	False	False	True	False
MGYG000003074	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000003166	7.0	9.0	0.0	0.0	True	False	True	True
MGYG000003217	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000003237	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000003252	6.0	5.0	0.0	0.0	True	False	True	True
MGYG000003299	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000003306	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000003351	6.0	6.0	0.0	0.0	True	False	True	True
MGYG000003352	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000003664	1.0	3.0	0.0	0.0	False	False	False	False
MGYG000003681	5.0	6.0	0.0	0.0	True	False	True	True
MGYG000003682	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000003686	1.0	4.0	0.0	0.0	False	False	False	True
MGYG000003694	1.0	7.0	0.0	0.0	False	False	False	True
MGYG000003697	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000003702	2.0	6.0	0.0	0.0	False	False	False	True
MGYG000003899	5.0	6.0	0.0	0.0	True	False	True	True
MGYG000003937	4.0	5.0	0.0	0.0	True	False	True	True
MGYG000003987	2.0	2.0	0.0	0.0	False	False	False	False
MGYG000004003	2.0	2.0	0.0	0.0	False	False	False	False
MGYG000004006	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000004063	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000004071	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000004158	3.0	4.0	0.0	0.0	False	False	False	True
MGYG000004250	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000004271	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000004296	4.0	1.0	0.0	0.0	False	False	True	False
MGYG000004317	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000004336	3.0	3.0	0.0	0.0	False	False	False	False
MGYG000004456	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000004526	3.0	1.0	0.0	0.0	False	False	False	False
MGYG000004658	2.0	7.0	0.0	0.0	False	False	False	True
MGYG000004679	8.0	10.0	0.0	0.0	True	False	True	True
MGYG000004768	3.0	6.0	0.0	0.0	False	False	False	True
MGYG000004769	5.0	5.0	0.0	0.0	True	False	True	True
MGYG000004797	10.0	10.0	0.0	0.0	True	False	True	True
